Leg0,Leg1,Spine,Beta_Acc,Beta
744.00,1056.00,198.97,-2.74,-3.09
756.00,1044.00,197.51,-0.18,-3.09
756.00,1044.00,197.51,-2.13,-3.15
768.00,1032.00,196.03,-9.39,-3.41
768.00,1032.00,196.03,-9.02,-3.66
780.00,1020.00,194.55,-4.45,-3.79
780.00,1020.00,194.55,1.52,-3.74
792.00,1008.00,193.07,-4.57,-3.87
792.00,1008.00,193.07,0.12,-3.87
804.00,996.00,191.57,1.28,-3.83
816.00,984.00,190.08,-2.50,-3.90
816.00,984.00,190.08,-6.52,-4.08
828.00,972.00,188.57,-3.72,-4.18
828.00,972.00,188.57,-0.37,-4.19
840.00,960.00,187.07,0.00,-4.19
840.00,960.00,187.07,-3.48,-4.29
852.00,948.00,185.56,-1.52,-4.33
852.00,948.00,185.56,-0.98,-4.36
864.00,936.00,184.05,-7.99,-4.58
876.00,924.00,182.53,-5.06,-4.72
876.00,924.00,182.53,-6.95,-4.91
888.00,912.00,181.02,0.61,-4.89
888.00,912.00,181.02,-2.44,-4.96
900.00,900.00,179.50,0.55,-4.95
900.00,900.00,179.50,-2.93,-5.03
912.00,888.00,177.98,-0.73,-5.05
912.00,888.00,177.98,-2.01,-5.10
924.00,876.00,176.47,-4.21,-5.22
924.00,876.00,176.47,-8.78,-5.46
936.00,864.00,174.95,-3.60,-5.56
948.00,852.00,173.44,-3.72,-5.66
948.00,852.00,173.44,-2.80,-5.74
960.00,840.00,171.93,-1.16,-5.77
960.00,840.00,171.93,-1.83,-5.82
972.00,828.00,170.43,-2.68,-5.90
972.00,828.00,170.43,-4.94,-6.03
984.00,816.00,168.92,-2.01,-6.09
984.00,816.00,168.92,-4.39,-6.21
996.00,804.00,167.43,-0.06,-6.21
1008.00,792.00,165.93,1.16,-6.18
1008.00,792.00,165.93,-1.59,-6.22
1020.00,780.00,164.45,-2.07,-6.28
1020.00,780.00,164.45,-4.39,-6.40
1032.00,768.00,162.97,-7.44,-6.61
1032.00,768.00,162.97,1.16,-6.58
1044.00,756.00,161.49,-0.37,-6.59
1044.00,756.00,161.49,1.28,-6.55
1056.00,744.00,160.03,-2.20,-6.61
1068.00,732.00,158.57,-2.50,-6.68
1068.00,732.00,158.57,-2.93,-6.76
1080.00,720.00,157.13,-4.15,-6.88
1080.00,720.00,157.13,0.73,-6.86
1092.00,708.00,155.69,-3.84,-6.96
1092.00,708.00,155.69,0.00,-6.96
1104.00,696.00,154.26,-1.04,-6.99
1104.00,696.00,154.26,-3.35,-7.08
1116.00,684.00,152.85,-2.32,-7.15
1128.00,672.00,151.44,-1.89,-7.20
1128.00,672.00,151.44,0.37,-7.19
1140.00,660.00,150.05,0.98,-7.16
1140.00,660.00,150.05,-1.16,-7.19
1152.00,648.00,148.67,0.85,-7.17
1152.00,648.00,148.67,-0.98,-7.20
1164.00,636.00,147.31,-3.05,-7.28
1164.00,636.00,147.31,-2.44,-7.35
1176.00,624.00,145.96,1.52,-7.31
1188.00,612.00,144.62,1.22,-7.27
1188.00,612.00,144.62,0.30,-7.27
1200.00,600.00,143.30,-1.04,-7.29
1200.00,600.00,143.30,-1.46,-7.33
1212.00,588.00,141.99,0.37,-7.32
1212.00,588.00,141.99,-1.89,-7.38
1224.00,576.00,140.71,0.73,-7.36
1224.00,576.00,140.71,-0.37,-7.37
1236.00,564.00,139.43,-0.37,-7.38
1236.00,564.00,139.43,0.73,-7.36
1248.00,552.00,138.18,2.44,-7.29
1260.00,540.00,136.94,1.16,-7.26
1260.00,540.00,136.94,-3.05,-7.34
1272.00,528.00,135.73,-2.01,-7.40
1272.00,528.00,135.73,1.16,-7.37
1284.00,516.00,134.53,1.83,-7.31
1284.00,516.00,134.53,1.77,-7.27
1296.00,504.00,133.35,0.18,-7.26
1296.00,504.00,133.35,-0.61,-7.28
1308.00,492.00,132.19,1.95,-7.22
1320.00,480.00,131.05,0.49,-7.21
1320.00,480.00,131.05,1.28,-7.17
1332.00,468.00,129.94,15.06,-6.76
1332.00,468.00,129.94,5.43,-6.61
1344.00,456.00,128.84,2.80,-6.53
1344.00,456.00,128.84,4.27,-6.41
1356.00,444.00,127.77,2.01,-6.36
1356.00,444.00,127.77,2.99,-6.27
1368.00,432.00,126.72,1.65,-6.23
1380.00,420.00,125.70,4.45,-6.11
1380.00,420.00,125.70,4.88,-5.97
1392.00,408.00,124.69,5.43,-5.82
1392.00,408.00,124.69,3.23,-5.73
1404.00,396.00,123.71,5.61,-5.58
1404.00,396.00,123.71,8.23,-5.35
1416.00,384.00,122.76,11.59,-5.03
1416.00,384.00,122.76,15.73,-4.59
1428.00,372.00,121.83,27.62,-3.83
1440.00,360.00,120.93,50.49,-2.43
1440.00,360.00,120.93,108.78,0.59
1452.00,348.00,120.05,-11.16,0.28
1452.00,348.00,120.05,11.34,0.59
1464.00,336.00,119.20,1.65,0.64
1464.00,336.00,119.20,-1.95,0.58
1476.00,324.00,118.37,0.37,0.59
1476.00,324.00,118.37,-0.61,0.57
1488.00,312.00,117.57,-1.65,0.53
1500.00,300.00,116.80,-0.67,0.51
1500.00,300.00,116.80,-0.12,0.51
1512.00,288.00,116.06,-1.28,0.47
1512.00,288.00,116.06,-1.04,0.44
1524.00,276.00,115.34,-1.22,0.41
1524.00,276.00,115.34,-1.28,0.37
1536.00,264.00,114.65,0.12,0.38
1536.00,264.00,114.65,-0.24,0.37
1548.00,252.00,113.99,-0.30,0.36
1548.00,252.00,113.99,-1.65,0.32
1560.00,240.00,113.36,-0.91,0.29
1572.00,228.00,112.76,-2.01,0.24
1572.00,228.00,112.76,-1.10,0.21
1584.00,216.00,112.18,-1.46,0.17
1584.00,216.00,112.18,0.06,0.17
1596.00,204.00,111.64,0.12,0.17
1596.00,204.00,111.64,-1.10,0.14
1608.00,192.00,111.13,-0.37,0.13
1608.00,192.00,111.13,-0.24,0.12
1620.00,180.00,110.64,-0.85,0.10
1632.00,168.00,110.19,-0.30,0.09
1632.00,168.00,110.19,-0.55,0.08
1644.00,156.00,109.77,-1.04,0.05
1644.00,156.00,109.77,-0.06,0.05
1656.00,144.00,109.37,-0.30,0.04
1656.00,144.00,109.37,-0.37,0.03
1668.00,132.00,109.01,-0.12,0.02
1668.00,132.00,109.01,-0.91,-0.00
1680.00,120.00,108.68,-0.91,-0.03
1680.00,120.00,108.68,0.61,-0.01
1692.00,108.00,108.38,-0.24,-0.02
1704.00,96.00,108.11,0.12,-0.01
1704.00,96.00,108.11,0.18,-0.01
1716.00,84.00,107.88,-0.06,-0.01
1716.00,84.00,107.88,-0.79,-0.03
1728.00,72.00,107.67,-0.06,-0.03
1728.00,72.00,107.67,-0.24,-0.04
1740.00,60.00,107.50,-0.67,-0.06
1740.00,60.00,107.50,-1.22,-0.09
1752.00,48.00,107.35,-0.49,-0.11
1764.00,36.00,107.24,-0.98,-0.13
1764.00,36.00,107.24,-0.85,-0.16
1776.00,24.00,107.16,0.37,-0.15
1776.00,24.00,107.16,-0.24,-0.15
1788.00,12.00,107.12,-0.18,-0.16
1788.00,12.00,107.12,-0.18,-0.16
1800.00,0.00,107.10,-0.24,-0.17
1800.00,0.00,107.10,0.00,-0.17
1788.00,12.00,107.12,0.79,-0.15
1776.00,24.00,107.16,-0.61,-0.16
1776.00,24.00,107.16,-0.37,-0.17
1764.00,36.00,107.24,-0.30,-0.18
1764.00,36.00,107.24,0.79,-0.16
1752.00,48.00,107.35,0.98,-0.13
1752.00,48.00,107.35,0.30,-0.13
1740.00,60.00,107.50,-0.24,-0.13
1740.00,60.00,107.50,0.18,-0.13
1728.00,72.00,107.67,0.61,-0.11
1716.00,84.00,107.88,0.00,-0.11
1716.00,84.00,107.88,-0.06,-0.11
1704.00,96.00,108.11,0.06,-0.11
1704.00,96.00,108.11,-0.18,-0.12
1692.00,108.00,108.38,-0.12,-0.12
1692.00,108.00,108.38,0.61,-0.10
1680.00,120.00,108.68,0.06,-0.10
1680.00,120.00,108.68,0.12,-0.10
1668.00,132.00,109.01,0.37,-0.09
1668.00,132.00,109.01,-0.67,-0.11
1656.00,144.00,109.37,0.00,-0.11
1644.00,156.00,109.77,-0.37,-0.12
1644.00,156.00,109.77,-0.67,-0.13
1632.00,168.00,110.19,-0.24,-0.14
1632.00,168.00,110.19,0.00,-0.14
1620.00,180.00,110.64,0.12,-0.14
1620.00,180.00,110.64,0.49,-0.12
1608.00,192.00,111.13,0.55,-0.11
1608.00,192.00,111.13,0.00,-0.11
1596.00,204.00,111.64,-0.79,-0.13
1584.00,216.00,112.18,0.67,-0.11
1584.00,216.00,112.18,2.38,-0.05
1572.00,228.00,112.76,-0.43,-0.06
1572.00,228.00,112.76,-0.24,-0.07
1560.00,240.00,113.36,-0.30,-0.07
1560.00,240.00,113.36,0.12,-0.07
1548.00,252.00,113.99,0.00,-0.07
1548.00,252.00,113.99,0.12,-0.07
1536.00,264.00,114.65,0.00,-0.07
1524.00,276.00,115.34,0.55,-0.05
1524.00,276.00,115.34,1.34,-0.01
1512.00,288.00,116.06,1.71,0.03
1512.00,288.00,116.06,3.17,0.12
1500.00,300.00,116.80,0.98,0.15
1500.00,300.00,116.80,0.24,0.15
1488.00,312.00,117.57,0.24,0.16
1488.00,312.00,117.57,-0.18,0.16
1476.00,324.00,118.37,0.00,0.16
1476.00,324.00,118.37,0.85,0.18
1464.00,336.00,119.20,0.30,0.19
1452.00,348.00,120.05,0.00,0.19
1452.00,348.00,120.05,0.24,0.19
1440.00,360.00,120.93,2.26,0.26
1440.00,360.00,120.93,1.89,0.31
1428.00,372.00,121.83,1.10,0.34
1428.00,372.00,121.83,1.40,0.38
1416.00,384.00,122.76,1.59,0.42
1416.00,384.00,122.76,0.49,0.44
1404.00,396.00,123.71,1.22,0.47
1392.00,408.00,124.69,0.67,0.49
1392.00,408.00,124.69,0.73,0.51
1380.00,420.00,125.70,0.00,0.51
1380.00,420.00,125.70,0.61,0.52
1368.00,432.00,126.72,1.28,0.56
1368.00,432.00,126.72,5.30,0.71
1356.00,444.00,127.77,-2.13,0.65
1356.00,444.00,127.77,0.55,0.66
1344.00,456.00,128.84,4.33,0.78
1332.00,468.00,129.94,2.01,0.84
1332.00,468.00,129.94,1.10,0.87
1320.00,480.00,131.05,0.12,0.87
1320.00,480.00,131.05,-0.98,0.84
1308.00,492.00,132.19,-0.49,0.83
1308.00,492.00,132.19,1.10,0.86
1296.00,504.00,133.35,2.26,0.92
1296.00,504.00,133.35,1.04,0.95
1284.00,516.00,134.53,0.55,0.97
1272.00,528.00,135.73,1.40,1.01
1272.00,528.00,135.73,0.30,1.01
1260.00,540.00,136.94,0.24,1.02
1260.00,540.00,136.94,-0.49,1.01
1248.00,552.00,138.18,0.79,1.03
1248.00,552.00,138.18,1.22,1.06
1236.00,564.00,139.43,1.22,1.10
1236.00,564.00,139.43,1.77,1.15
1224.00,576.00,140.71,0.37,1.16
1224.00,576.00,140.71,2.62,1.23
1212.00,588.00,141.99,-0.73,1.21
1200.00,600.00,143.30,-0.06,1.21
1200.00,600.00,143.30,0.06,1.21
1188.00,612.00,144.62,1.34,1.25
1188.00,612.00,144.62,1.89,1.30
1176.00,624.00,145.96,1.28,1.33
1176.00,624.00,145.96,0.55,1.35
1164.00,636.00,147.31,-1.28,1.31
1164.00,636.00,147.31,0.85,1.34
1152.00,648.00,148.67,3.66,1.44
1140.00,660.00,150.05,3.78,1.54
1140.00,660.00,150.05,3.17,1.63
1128.00,672.00,151.44,4.57,1.76
1128.00,672.00,151.44,10.00,2.03
1116.00,684.00,152.85,8.54,2.27
1116.00,684.00,152.85,5.30,2.42
1104.00,696.00,154.26,7.62,2.63
1104.00,696.00,154.26,8.35,2.86
1092.00,708.00,155.69,6.89,3.05
1080.00,720.00,157.13,5.73,3.21
1080.00,720.00,157.13,7.56,3.42
1068.00,732.00,158.57,1.46,3.46
1068.00,732.00,158.57,3.96,3.57
1056.00,744.00,160.03,5.12,3.71
1056.00,744.00,160.03,5.91,3.87
1044.00,756.00,161.49,5.79,4.03
1044.00,756.00,161.49,5.24,4.18
1032.00,768.00,162.97,5.37,4.32
1020.00,780.00,164.45,6.89,4.52
1020.00,780.00,164.45,4.45,4.64
1008.00,792.00,165.93,1.89,4.69
1008.00,792.00,165.93,0.79,4.71
996.00,804.00,167.43,4.63,4.84
996.00,804.00,167.43,1.83,4.89
984.00,816.00,168.92,2.07,4.95
