time,x,y,z,shaft_length
90.016,-0.000680,-0.014410,0.038148,0.0000
90.048,-0.000680,-0.014329,0.038027,0.0000
90.080,-0.000680,-0.014248,0.037906,0.0000
90.112,-0.000680,-0.014168,0.037785,0.0000
90.144,-0.000680,-0.014087,0.037663,0.0000
90.176,-0.000680,-0.014007,0.037541,0.0000
90.208,-0.000680,-0.013927,0.037419,0.0000
90.240,-0.000680,-0.013847,0.037297,0.0000
90.272,-0.000680,-0.013768,0.037175,0.0000
90.304,-0.000680,-0.013688,0.037052,0.0000
90.336,-0.000680,-0.013609,0.036929,0.0000
90.368,-0.000680,-0.013530,0.036806,0.0000
90.400,-0.000680,-0.013451,0.036682,0.0000
90.432,-0.000680,-0.013373,0.036559,0.0000
90.464,-0.000680,-0.013294,0.036437,0.0000
90.496,-0.000680,-0.013216,0.036315,0.0000
90.528,-0.000680,-0.013138,0.036192,0.0000
90.560,-0.000680,-0.013060,0.036069,0.0000
90.592,-0.000680,-0.012983,0.035945,0.0000
90.624,-0.000680,-0.012905,0.035822,0.0000
90.656,-0.000680,-0.012828,0.035698,0.0000
90.688,-0.000680,-0.012751,0.035574,0.0000
90.720,-0.000680,-0.012674,0.035450,0.0000
90.752,-0.000680,-0.012598,0.035325,0.0000
90.784,-0.000680,-0.012521,0.035201,0.0000
90.816,-0.000680,-0.012445,0.035076,0.0000
90.848,-0.000680,-0.012369,0.034951,0.0000
90.880,-0.000680,-0.012293,0.034825,0.0000
90.912,-0.000680,-0.012218,0.034700,0.0000
90.944,-0.000680,-0.012143,0.034574,0.0000
90.976,-0.000680,-0.012068,0.034448,0.0000
91.008,-0.000680,-0.011993,0.034322,0.0000
91.040,-0.000680,-0.011918,0.034196,0.0000
91.072,-0.000680,-0.011844,0.034069,0.0000
91.104,-0.000680,-0.011769,0.033943,0.0000
91.136,-0.000680,-0.011695,0.033816,0.0000
91.168,-0.000680,-0.011622,0.033689,0.0000
91.200,-0.000680,-0.011548,0.033561,0.0000
91.232,-0.000680,-0.011475,0.033434,0.0000
91.264,-0.000680,-0.011402,0.033306,0.0000
91.296,-0.000680,-0.011329,0.033178,0.0000
91.328,-0.000680,-0.011256,0.033050,0.0000
91.360,-0.000680,-0.011184,0.032922,0.0000
91.392,-0.000680,-0.011112,0.032794,0.0000
91.424,-0.000680,-0.011040,0.032665,0.0000
91.456,-0.000680,-0.010968,0.032536,0.0000
91.488,-0.000680,-0.010897,0.032407,0.0000
91.520,-0.000680,-0.010826,0.032278,0.0000
91.552,-0.000680,-0.010755,0.032149,0.0000
91.584,-0.000680,-0.010684,0.032020,0.0000
91.616,-0.000680,-0.010613,0.031890,0.0000
91.648,-0.000680,-0.010543,0.031760,0.0000
91.680,-0.000680,-0.010473,0.031630,0.0000
91.712,-0.000680,-0.010403,0.031500,0.0000
91.744,-0.000680,-0.010334,0.031370,0.0000
91.776,-0.000680,-0.010278,0.031265,0.0000
91.840,-0.000680,-0.010215,0.031144,0.0000
92.032,-0.000680,-0.010166,0.031051,0.0000
119.840,-0.000680,-0.010093,0.031194,0.0100
119.872,-0.000680,-0.010023,0.031349,0.0100
119.904,-0.000680,-0.009952,0.031502,0.0100
119.936,-0.000680,-0.009881,0.031655,0.0100
119.968,-0.000680,-0.009808,0.031808,0.0100
120.000,-0.000680,-0.009734,0.031960,0.0100
120.032,-0.000680,-0.009659,0.032113,0.0100
120.064,-0.000680,-0.009583,0.032265,0.0100
120.096,-0.000680,-0.009506,0.032417,0.0100
120.128,-0.000680,-0.009427,0.032569,0.0100
